la_name,rank_per_residents,rank_per_dwellings,rank_change
East Lindsey,191.0,234.0,43.0
North Norfolk,146.0,181.0,35.0
Isle of Wight,111.0,140.0,29.0
South Hams,170.0,199.0,29.0
Cornwall,88.0,115.0,27.0
Westmorland and Furness Council,157.0,183.0,26.0
Torridge,93.0,117.0,24.0
East Riding of Yorkshire,112.0,134.0,22.0
Cumberland Council,86.0,108.0,22.0
East Suffolk,105.0,126.0,21.0
Derbyshire Dales,161.0,180.0,19.0
Northumberland,114.0,132.0,18.0
Chesterfield,74.0,91.0,17.0
Great Yarmouth,41.0,58.0,17.0
North Devon,43.0,59.0,16.0
