la_code,la_name,relief_per_1000_dwellings
E08000004,Oldham,6.927358528616948
E06000044,Portsmouth,6.5877160399414425
E06000006,Halton,5.622720518708632
E08000026,Coventry,5.324108482088564
E06000018,Nottingham,5.296632854828003
E07000109,Gravesham,5.265020794619945
E08000003,Manchester,5.086925853699017
E07000081,Gloucester,4.8752605742720725
E08000006,Salford,4.644825197988497
E06000032,Luton,4.505148741418765
E06000009,Blackpool,4.473052585642592
E06000055,Bedford,4.17731472380578
E08000027,Dudley,3.687742847050512
E06000035,Medway Towns,3.683500401460156
E06000010,Kingston upon Hull,3.616477022139896
E08000001,Bolton,3.608923884514436
E06000042,Milton Keynes,3.603126454491469
E07000117,Burnley,3.5290268299523238
E06000047,Durham,3.507105252741163
E08000031,Wolverhampton,3.4906741690111494
